exam_1,exam_2,exam_3,notes
89,77,68,
99,67,89,great final presentation +10
64,86,78,
91,96,92,
88,80,91,missed class frequently -10
90,82,86,
90,75,90,missed homework frequently -10
71,89,90,
79,83,92,
64,75,90,
98,71,93,
77,87,83,
72,81,95,missed class frequently -10
69,87,51,
68,74,40,missed homework frequently -10
0,56,96,"cheated on exam, gets 0pts"
95,78,60,great participation +10
80,59,86,
0,95,87,"cheated on exam, gets 0pts"
81,79,86,
86,98,95,
98,92,96,
88,67,92,
81,0,75,"cheated on exam, gets 0pts"
58,97,89,great participation +10
74,72,97,missed class frequently -10
84,96,91,great final presentation +10
0,92,56,"cheated on exam, gets 0pts"
95,41,56,
92,89,82,great final presentation +10
68,0,38,"cheated on exam, gets 0pts"
87,58,34,missed homework frequently -10
78,95,87,
82,68,80,
80,95,61,
50,67,94,great final presentation +10
57,78,83,
92,93,73,missed homework frequently -10
91,61,100,
86,81,88,great final presentation +10
99,59,70,missed class frequently -10
34,91,92,missed homework frequently -10
92,86,81,
76,88,94,great final presentation +10
88,91,80,
0,50,85,"cheated on exam, gets 0pts"
93,70,97,
59,82,61,
80,85,93,great participation +10
0,83,97,"cheated on exam, gets 0pts"
84,94,100,great final presentation +10
66,91,70,missed class frequently -10
43,0,85,"cheated on exam, gets 0pts"
80,76,96,missed class frequently -10
83,79,93,great participation +10
96,64,92,great final presentation +10
61,76,87,
65,0,95,"cheated on exam, gets 0pts"
97,85,75,
96,83,73,great final presentation +10
0,97,88,"cheated on exam, gets 0pts"
99,86,95,missed class frequently -10
76,92,64,great participation +10
93,98,75,
93,81,77,great participation +10
98,82,47,great final presentation +10
95,90,69,
92,99,87,missed homework frequently -10
78,89,68,
74,65,85,
83,97,75,great final presentation +10
77,95,85,
86,95,77,
85,96,48,
87,56,85,
84,79,97,great final presentation +10
99,95,67,
86,92,86,great participation +10
93,68,86,missed homework frequently -10
78,89,58,
82,61,87,great participation +10
85,82,55,great participation +10
76,96,78,great final presentation +10
72,81,80,
94,79,79,great participation +10
93,90,82,
68,80,74,
57,74,86,
49,95,77,
89,72,60,great final presentation +10
56,79,85,
89,86,90,great final presentation +10
69,85,79,
95,73,57,great final presentation +10
100,73,84,missed homework frequently -10
82,90,85,
89,57,47,
68,73,81,missed class frequently -10
56,97,92,great final presentation +10
77,79,94,
84,81,88,
83,52,88,missed homework frequently -10
78,81,74,missed homework frequently -10
84,46,95,
97,65,85,missed class frequently -10
0,89,90,"cheated on exam, gets 0pts"
65,82,83,missed homework frequently -10
95,88,69,
93,75,93,
69,86,97,missed homework frequently -10
91,92,96,missed class frequently -10
85,90,80,missed homework frequently -10
90,79,89,
79,0,59,"cheated on exam, gets 0pts"
95,83,78,
99,93,90,
78,58,86,great final presentation +10
83,77,72,missed homework frequently -10
78,95,54,missed homework frequently -10
78,94,83,
72,63,91,great final presentation +10
89,72,98,missed homework frequently -10
86,96,100,
70,99,90,
88,66,74,
83,99,80,
73,87,92,
56,90,71,missed class frequently -10
83,90,83,
70,84,76,
93,88,79,missed homework frequently -10
84,96,73,great participation +10
0,97,85,"cheated on exam, gets 0pts"
88,93,92,great final presentation +10
72,0,76,"cheated on exam, gets 0pts"
89,74,71,
95,94,89,
98,69,90,
94,82,97,great final presentation +10
87,93,91,great participation +10
85,68,76,great participation +10
85,94,75,missed class frequently -10
96,90,77,
95,83,83,
82,85,89,
88,80,82,great participation +10
51,78,84,
71,0,75,"cheated on exam, gets 0pts"
81,56,58,
84,83,85,missed class frequently -10
80,76,66,
98,89,71,missed class frequently -10
95,77,87,
77,88,82,missed homework frequently -10
74,96,92,missed class frequently -10
81,56,90,great final presentation +10
91,99,79,great participation +10
54,80,81,
78,89,81,
75,0,55,"cheated on exam, gets 0pts"
90,70,68,
49,0,78,"cheated on exam, gets 0pts"
63,93,94,
83,71,70,great participation +10
71,89,96,great final presentation +10
96,68,59,great participation +10
71,94,95,great final presentation +10
100,100,81,missed homework frequently -10
65,95,68,
96,91,90,great final presentation +10
97,0,42,"cheated on exam, gets 0pts"
68,99,91,
100,100,87,missed homework frequently -10
89,95,73,
71,65,81,great participation +10
85,80,60,
99,95,99,great participation +10
88,80,89,
94,78,89,
83,79,67,
76,59,65,
53,100,78,great final presentation +10
74,81,74,
70,96,81,great final presentation +10
71,94,89,
84,92,86,
81,98,96,
87,0,70,"cheated on exam, gets 0pts"
94,88,79,great participation +10
78,94,81,
92,87,71,
88,93,78,great participation +10
85,92,84,missed homework frequently -10
0,81,99,"cheated on exam, gets 0pts"
87,80,91,
99,65,87,
88,81,85,
81,76,97,great participation +10
70,97,42,
96,87,80,missed class frequently -10
