letter_grade,A_probability,B_probability,C_probability,D_probability,F_probability
C,0.027603533,0.03423896,0.67784387,0.060252357,0.20006125
A,0.9018614,0.032556325,0.008018303,0.007267675,0.050296262
C,0.07242453,0.065876774,0.74068207,0.05216862,0.068847984
A,0.63215935,0.07928199,0.0024008334,0.018228905,0.26792893
C,0.053963028,0.06982522,0.7990691,0.033397526,0.043745115
B,0.03577982,0.5930874,0.017808087,0.110572375,0.24275231
C,0.06737181,0.057629034,0.8132787,0.0326351,0.029085422
B,0.028161451,0.7939443,0.042188816,0.060800835,0.07490466
B,0.031360097,0.62724626,0.02001631,0.040811695,0.28056562
C,0.07004036,0.09348368,0.7149569,0.03673969,0.08477942
B,0.05524998,0.78042495,0.011314089,0.091275066,0.061735976
B,0.029896224,0.5249246,0.08940464,0.2722153,0.08355927
C,0.103247255,0.074445166,0.70580435,0.060069807,0.056433424
D,0.07692186,0.11370678,0.07092448,0.61233985,0.12610707
F,0.10140848,0.03205445,5.7420602e-05,0.28282568,0.58365405
F,0.10354146,0.024972342,0.010513635,0.046691112,0.81428146
B,0.05489407,0.47616786,0.062319692,0.3357548,0.070863515
C,0.093520105,0.0612168,0.7227608,0.05432382,0.068178445
D,0.061683074,0.114557765,0.02447832,0.7307631,0.06851778
B,0.037073433,0.5148486,0.079919994,0.08562332,0.28253466
A,0.81992984,0.072367236,0.0019798325,0.013836572,0.09188646
A,0.83172023,0.045459,0.0008082742,0.0076830853,0.11432937
B,0.029391067,0.62540853,0.055025052,0.23720418,0.052971132
F,0.11097625,0.008926046,0.0029998259,0.016036201,0.8610617
A,0.69969803,0.17447066,0.035336845,0.03837256,0.052121885
C,0.12320486,0.07837803,0.4635411,0.12166697,0.21320905
A,0.9707602,0.0033261653,0.0003555921,0.00025734995,0.025300704
F,0.08235435,0.01773652,0.00016009458,0.03096271,0.86878633
D,0.040483005,0.021487974,0.05127382,0.79168445,0.095070764
A,0.93341786,0.006905926,0.00184519,0.0011929763,0.056638036
F,0.06998319,0.00022027752,7.021118e-07,0.009226824,0.92056906
F,0.07989742,0.020614577,6.774418e-05,0.34340364,0.5560166
B,0.05364103,0.75312996,0.018550174,0.102955714,0.07172311
C,0.0572155,0.055087652,0.7509078,0.06651427,0.07027487
