letter_grade,A_probability,B_probability,C_probability,D_probability,F_probability
A,0.59191585,0.10381469,0.001846608,0.016466716,0.28595617
A,0.785941,0.08864271,0.015464739,0.020184522,0.08976704
C,0.09144633,0.06077444,0.6083428,0.14429325,0.09514314
B,0.020909194,0.7548486,0.03915645,0.14100446,0.044081308
A,0.8437376,0.0350302,0.013439385,0.0043953205,0.1033975
C,0.07306547,0.055579554,0.78171873,0.060117483,0.029518796
B,0.027626714,0.6660166,0.089261554,0.14413595,0.072959185
D,0.31138343,0.05283613,0.08111231,0.39048386,0.1641843
B,0.06364869,0.683161,0.00970891,0.16635185,0.077129506
B,0.016383428,0.6863624,0.023452582,0.24973893,0.02406269
A,0.36121345,0.11984492,0.15711312,0.2822902,0.0795383
C,0.053907465,0.04954219,0.7435552,0.106210835,0.04678437
B,0.05912942,0.7612071,0.011298253,0.08725386,0.081111394
A,0.81992984,0.072367236,0.0019798325,0.013836572,0.09188646
A,0.89600694,0.019672032,0.006455932,0.0014685441,0.07639659
A,0.951882,0.0034477566,0.002453953,0.0005223394,0.041693896
B,0.031850036,0.51972026,0.07189968,0.22757503,0.14895494
C,0.27067515,0.03945363,0.4459788,0.15887265,0.08501977
B,0.054167796,0.49493772,0.049389634,0.29381695,0.107687905
B,0.022491895,0.64119846,0.0688051,0.23503348,0.03247107
B,0.021630993,0.7293397,0.039534114,0.1638265,0.0456687
B,0.029391067,0.62540853,0.055025052,0.2372042,0.052971132
B,0.018112436,0.5392309,0.0313598,0.3767497,0.034547187
C,0.08718878,0.23977143,0.2993988,0.07737987,0.2962611
C,0.062356323,0.028461616,0.7383914,0.12010551,0.050685164
C,0.087773934,0.07056574,0.70173115,0.08118529,0.058743875
C,0.055143487,0.06598571,0.57571673,0.1018794,0.20127471
D,0.19353719,0.2512734,0.103614755,0.37444574,0.07712892
B,0.03891316,0.7206476,0.016823787,0.15628563,0.06732989
B,0.050190113,0.5083975,0.03822419,0.29803434,0.105153814
D,0.061783865,0.29076454,0.023671724,0.53974736,0.084032476
C,0.11998153,0.05231024,0.67193705,0.104979984,0.050791197
A,0.80630064,0.06253435,0.0014724017,0.018311705,0.1113809
C,0.07378144,0.0514502,0.758415,0.044520535,0.07183285
A,0.95369065,0.0014975535,0.00039493712,0.0003791257,0.04403779
A,0.931275,0.013043411,0.007733376,0.0019317112,0.046016455
C,0.07189036,0.0713189,0.67830896,0.122335166,0.0561466
B,0.029730983,0.8255101,0.023777936,0.04018286,0.08079815
A,0.68699944,0.049372453,0.009337274,0.016284022,0.2380068
C,0.064932175,0.12208547,0.6782222,0.09882006,0.035940193
B,0.040762257,0.60956764,0.015522413,0.09912975,0.23501793
A,0.7499032,0.0046859123,0.0013446822,0.00059511873,0.24347109
B,0.022031678,0.8014765,0.0355769,0.10482584,0.036089133
B,0.060647164,0.68243694,0.112935215,0.09295966,0.051020987
B,0.021371584,0.66233796,0.03143845,0.2568684,0.027983628
A,0.94284874,0.0024750885,0.0017289668,0.0006743757,0.052272815
A,0.8246339,0.054582633,0.022469493,0.010741571,0.087572426
D,0.15241319,0.1020802,0.18118548,0.49495783,0.06936331
A,0.7642233,0.09109907,0.023973724,0.012546957,0.10815701
A,0.94587696,0.008822582,0.0016399072,0.0006783587,0.042982157
C,0.05827717,0.04733469,0.76982105,0.09666162,0.027905434
A,0.92914194,0.012254335,0.0030655076,0.001492907,0.05404534
D,0.06312162,0.11256607,0.019776735,0.7657722,0.03876339
C,0.122052,0.055717155,0.51194686,0.07290081,0.23738317
B,0.031707674,0.76439345,0.028375436,0.061810177,0.11371328
A,0.9517672,0.0015214396,0.00014415605,0.00017637663,0.046390824
B,0.027242603,0.529356,0.10989893,0.115251824,0.21825062
B,0.018684866,0.62806845,0.091160744,0.21700063,0.045085344
B,0.032445528,0.6932682,0.022500066,0.05576006,0.19602616
B,0.023147332,0.7747408,0.015005781,0.14605142,0.041054647
