predicted_label,is_label_issue,label_score,A_probability,B_probability,C_probability,D_probability,F_probability
B,False,0.63876647,0.11130601,0.63876647,0.02801095,0.12289964,0.09901692
C,False,0.45869908,0.05442061,0.2503658,0.45869908,0.22295666,0.013557847
D,False,0.7224703,0.05324614,0.16888392,0.023911253,0.7224703,0.031488396
B,False,0.6198843,0.0858565,0.6198843,0.022674147,0.211518,0.060067028
B,False,0.6479844,0.09975553,0.6479844,0.050823696,0.092658415,0.10877788
A,False,0.85486984,0.85486984,0.01988195,0.008130483,0.0034910955,0.1136266
A,False,0.62513506,0.62513506,0.22405791,0.02209405,0.050120424,0.07859262
F,False,0.89387906,0.0534266,0.014094198,0.009870032,0.028730165,0.89387906
F,False,0.266196,0.16107646,0.22418694,0.065480575,0.266196,0.28306
B,False,0.76773626,0.04938055,0.76773626,0.04940332,0.054832093,0.07864775
A,False,0.70156217,0.70156217,0.10922047,0.0037792493,0.035563223,0.14987488
B,False,0.5699755,0.07520948,0.5699755,0.042139105,0.2069401,0.105735816
C,False,0.62621164,0.06147318,0.123098806,0.62621164,0.15724522,0.03197118
D,False,0.7247764,0.09098918,0.09565529,0.022053849,0.7247764,0.066525236
D,False,0.42965633,0.10892806,0.23910308,0.05046656,0.42965633,0.17184602
F,False,0.848406,0.08258454,0.022012599,0.0003840424,0.046612766,0.848406
F,False,0.71761,0.07662828,0.08040206,0.024355782,0.1010039,0.71761
C,False,0.7036863,0.046213783,0.05428348,0.7036863,0.15403153,0.04178489
A,False,0.63947237,0.63947237,0.18993768,0.0027789033,0.04178167,0.12602937
D,False,0.5531858,0.049552042,0.08909975,0.26439825,0.5531858,0.043764163
D,False,0.64467156,0.088232115,0.17127231,0.040039215,0.64467156,0.055784844
A,False,0.94619024,0.94619024,0.009397544,0.0011571808,0.0027577395,0.040497247
F,False,0.9709466,0.006726501,0.0003520837,3.4454447e-06,0.021971386,0.9709466
B,True,0.06231297,0.058379274,0.77442753,0.03629916,0.06858104,0.06231297
A,False,0.7666346,0.7666346,0.086401746,0.02182338,0.0147907315,0.11034968
C,True,0.07100348,0.053933926,0.14554408,0.61728895,0.11222955,0.07100348
B,False,0.7067689,0.062035512,0.7067689,0.041362204,0.105868176,0.0839652
D,False,0.62585187,0.11198398,0.11472428,0.047924332,0.62585187,0.099515535
B,False,0.7579031,0.049238924,0.7579031,0.052331936,0.06705331,0.073472746
A,False,0.16507131,0.67426383,0.112470046,0.036378957,0.011815876,0.16507131
D,False,0.2203383,0.12403979,0.2203383,0.053810783,0.40718508,0.19462602
