is_label_issue,label_score,given_label,predicted_label
False,0.6128497,C,C
False,0.65736717,B,B
False,0.67164046,B,B
False,0.5993613,C,C
False,0.34693515,C,C
False,0.57337266,B,B
False,0.6090586,D,D
False,0.76118994,B,B
False,0.7739806,F,F
False,0.45149863,C,C
False,0.5780586,C,C
True,0.09061161,B,D
False,0.4847051,C,C
False,0.64444065,D,D
True,0.041640114,D,B
False,0.7935663,B,B
False,0.7812532,A,A
False,0.44608298,F,F
True,0.11400535,B,D
False,0.7154656,B,B
False,0.7937875,B,B
False,0.69481766,C,C
False,0.59680796,C,C
True,0.03441881,A,C
False,0.7867955,C,C
False,0.6845743,C,C
False,0.9234214,A,A
True,0.16941826,F,B
False,0.5435086,B,B
False,0.713075,B,B
False,0.08207879,A,C
False,0.801938,A,A
True,0.11723701,D,B
False,0.6296399,C,C
False,0.9330374,A,A
False,0.6175256,C,C
True,0.16091095,D,B
False,0.3271004,B,B
False,0.46085337,C,C
False,0.8423931,A,A
True,0.07522714,B,D
False,0.6281008,D,D
False,0.5738734,C,C
False,0.8891396,A,A
False,0.7436102,B,B
False,0.14185852,A,C
False,0.47709018,B,B
False,0.44079614,D,D
False,0.44261315,C,C
False,0.49510527,A,A
False,0.9382464,A,A
False,0.57288927,C,C
True,0.12881185,F,B
False,0.6732523,D,D
False,0.7165549,B,B
False,0.5541482,D,D
True,0.07595713,F,B
True,0.039968215,B,D
True,0.050536368,A,C
False,0.78531665,C,C
False,0.61607754,B,B
False,0.63423723,B,B
False,0.51309866,B,B
False,0.8554728,A,A
False,0.98729604,A,A
False,0.64599246,B,B
False,0.69757223,A,A
False,0.68470395,F,F
False,0.93633777,A,A
True,0.1477694,F,B
False,0.7934408,B,B
True,0.01560469,A,C
False,0.6402457,D,D
False,0.40401638,B,B
False,0.55703646,C,C
False,0.48991668,B,B
False,0.95654035,A,A
False,0.6821144,C,C
False,0.78434473,B,B
False,0.97433656,F,F
False,0.8086479,A,A
False,0.61215985,A,A
False,0.443755,B,B
True,0.06788698,D,B
False,0.32004035,D,B
False,0.8376333,A,A
False,0.7738298,A,A
False,0.73334545,B,B
False,0.7821635,F,F
False,0.3972212,B,B
False,0.73403955,C,C
True,0.10185468,D,B
False,0.6312672,B,B
False,0.8277326,F,F
False,0.6924318,B,B
False,0.72885,D,D
False,0.8092351,A,A
False,0.64902157,D,D
False,0.9209167,A,A
False,0.5662581,C,C
False,0.59474355,B,B
False,0.7207014,C,C
False,0.46726048,B,B
False,0.9811489,A,A
False,0.36563623,D,D
True,0.23994255,D,B
False,0.74225116,F,F
False,0.7315617,B,B
True,0.099177204,A,D
False,0.72108835,A,A
False,0.69571775,C,C
False,0.75781924,C,C
False,0.474515,C,C
False,0.49820343,A,A
False,0.25832412,D,C
False,0.6299673,B,B
False,0.54775286,A,A
True,0.14394706,B,D
False,0.88577795,A,A
False,0.83759826,A,A
True,0.066062346,B,D
False,0.46802464,C,C
False,0.7372105,D,D
False,0.80025566,F,F
False,0.91399217,A,A
False,0.96412814,A,A
False,0.9479088,A,A
False,0.71098995,F,F
False,0.64933026,F,F
True,0.13972203,D,B
True,0.060935136,A,F
False,0.48156506,C,C
False,0.7621592,B,B
False,0.2148585,D,C
False,0.214518,D,C
True,0.03773208,F,C
False,0.9184322,A,A
True,0.0734425,D,B
False,0.2611041,D,C
True,0.07063564,A,D
True,0.09303985,F,A
False,0.5253143,D,D
False,0.31638858,D,A
True,0.07960459,B,D
True,0.055475533,F,C
False,0.76238877,F,F
False,0.907411,A,A
False,0.69958234,B,B
False,0.9392932,F,F
False,0.6873969,B,B
False,0.12806013,F,C
False,0.554111,A,A
True,0.12826799,F,B
False,0.60375994,C,C
False,0.6683548,B,B
False,0.62625057,C,C
False,0.70475703,F,F
False,0.4864036,D,D
True,0.09058441,D,B
True,0.06370097,B,D
True,0.027945908,F,C
True,0.06678111,A,C
False,0.6417304,C,C
False,0.64263195,B,B
False,0.57781756,B,B
False,0.86731005,F,F
False,0.5883513,B,B
False,0.8000324,F,F
False,0.7141159,B,B
True,0.03457871,F,B
False,0.6528276,A,A
False,0.8422765,A,A
False,0.87905157,B,B
True,0.083745345,F,A
True,0.1057833,B,D
False,0.7021484,B,B
False,0.62735075,D,D
False,0.6568336,B,B
True,0.088271715,D,B
True,0.12085582,F,B
False,0.7847454,C,C
False,0.5146997,B,B
False,0.59143275,C,C
False,0.96340275,A,A
