is_label_issue,label_score,given_label,predicted_label
False,0.67517114,C,C
True,0.08737807,A,C
False,0.75170594,B,B
False,0.76888543,C,C
False,0.5312828,C,C
False,0.09202542,A,C
False,0.6427095,C,C
False,0.6331354,C,C
False,0.7559991,C,C
False,0.8897832,A,A
False,0.5568915,B,B
False,0.56594867,B,B
True,0.09691928,A,D
False,0.7819675,A,A
False,0.2040013,A,C
False,0.73042536,D,D
False,0.63799053,D,D
False,0.7228414,C,C
False,0.27887857,D,B
False,0.9066236,A,A
False,0.5805309,B,B
False,0.9724193,F,F
False,0.14751868,A,C
False,0.8391608,F,F
False,0.85596824,F,F
False,0.6387466,C,C
False,0.81828594,C,C
False,0.67938036,D,D
False,0.6383333,B,B
False,0.16919544,D,C
True,0.15548968,B,D
False,0.74376035,C,C
False,0.67626715,F,F
False,0.7115126,B,B
False,0.7820143,B,B
False,0.79153585,A,A
False,0.5665882,D,D
False,0.72537905,B,B
False,0.5848365,B,B
True,0.043076586,F,C
True,0.1367494,D,B
True,0.08812652,B,D
True,0.07462202,F,A
False,0.57930666,D,D
False,0.7996707,A,A
False,0.9031046,A,A
False,0.86017925,F,F
False,0.5149246,C,C
False,0.6161092,C,C
False,0.93661934,A,A
False,0.7145757,B,B
False,0.79792166,B,B
False,0.7652413,C,C
False,0.6725424,B,B
False,0.77739966,C,C
False,0.8751023,A,A
False,0.7311384,B,B
True,0.10312537,B,D
False,0.7230414,C,C
False,0.7062175,B,B
False,0.18561774,A,C
False,0.8447763,B,B
False,0.7883226,A,A
True,0.053141613,F,B
True,0.19732238,B,D
False,0.678746,C,C
False,0.586497,C,C
False,0.74979573,B,B
False,0.71274537,D,D
False,0.5968902,C,C
False,0.839608,F,F
False,0.39865527,F,F
False,0.39085627,A,A
False,0.72810864,A,A
False,0.8382111,B,B
False,0.77585983,A,A
False,0.6699316,C,C
True,0.017576804,A,D
False,0.7061476,C,C
False,0.8819016,A,A
False,0.77128315,A,A
True,0.130063,B,D
False,0.821343,A,A
False,0.9182803,A,A
False,0.3466982,B,B
False,0.45489907,B,B
False,0.93226975,A,A
False,0.67581266,C,C
False,0.7449947,C,C
False,0.95550483,A,A
False,0.82962054,A,A
False,0.68670225,C,C
True,0.0154894525,B,D
False,0.59197104,B,B
False,0.6982644,B,B
False,0.74481493,C,C
False,0.9313122,A,A
False,0.7086058,F,F
True,0.05430575,A,C
False,0.84772533,A,A
True,0.04562285,B,D
False,0.56121725,D,D
False,0.9051687,A,A
True,0.10336699,F,B
False,0.087525815,A,C
False,0.7692264,D,D
False,0.91807413,A,A
False,0.7919496,F,F
False,0.95173585,F,F
False,0.47520608,B,B
False,0.8377186,A,A
False,0.43638748,D,D
False,0.076981016,A,C
False,0.6299758,C,C
False,0.90086305,F,F
False,0.62194073,B,B
False,0.9131707,A,A
False,0.92000306,F,F
False,0.26599124,B,B
False,0.4646947,B,B
False,0.9202298,A,A
False,0.6740668,B,B
False,0.17255086,D,B
False,0.77370906,D,D
True,0.10052424,D,B
False,0.79319185,F,F
False,0.5748017,C,C
False,0.6967919,D,D
False,0.6733028,C,C
False,0.5302822,B,B
True,0.03870834,F,A
False,0.81659675,B,B
False,0.806271,B,B
False,0.77642727,C,C
False,0.4724545,D,D
False,0.4957704,D,D
True,0.20164289,D,B
False,0.6652114,C,C
False,0.42538464,B,B
False,0.67194116,C,C
False,0.69766486,B,B
True,0.112318814,D,B
False,0.74041176,A,A
False,0.669158,C,C
True,0.09592867,F,B
True,0.069206014,F,A
False,0.7647952,D,D
False,0.77340233,A,A
False,0.7746124,B,B
False,0.90507483,F,F
False,0.7457346,D,D
False,0.6395862,C,C
True,0.064646535,F,B
False,0.6968454,D,D
False,0.71933943,C,C
False,0.8301764,A,A
False,0.70581675,B,B
False,0.962302,F,F
False,0.93492925,A,A
False,0.65878326,C,C
False,0.91274816,F,F
False,0.88257945,A,A
False,0.8810165,A,A
True,0.03851489,F,C
False,0.6535781,B,B
False,0.8033627,B,B
False,0.700946,D,D
True,0.03803953,A,C
False,0.5877811,B,B
False,0.20276791,D,B
False,0.6690989,B,B
False,0.7706392,B,B
False,0.6344518,B,B
False,0.49735114,D,D
False,0.74803597,B,B
False,0.7884463,A,A
False,0.68112075,B,B
False,0.765009,B,B
False,0.6817549,D,D
False,0.70210475,C,C
False,0.66384715,C,C
False,0.9229087,A,A
False,0.7882881,A,A
False,0.8062291,C,C
False,0.7227626,C,C
False,0.75880986,B,B
False,0.3671381,D,D
False,0.21745467,F,C
False,0.74954134,C,C
False,0.7887293,C,C
True,0.13507512,D,B
False,0.5649564,C,C
False,0.78258944,B,B
False,0.77587914,A,A
False,0.8782575,A,A
False,0.70292026,C,C
True,0.21896282,A,D
False,0.30201668,C,C
True,0.08578989,A,D
False,0.6481479,D,D
False,0.46112055,C,C
False,0.5629024,F,F
False,0.61308104,C,C
False,0.635211,B,B
False,0.8088224,A,A
False,0.8055411,F,F
True,0.23157385,B,D
True,0.06272783,A,C
True,0.01236216,F,A
False,0.84176886,B,B
False,0.8639766,C,C
True,0.075099595,F,C
False,0.50138664,D,D
False,0.8429817,C,C
False,0.7886224,A,A
False,0.49176928,D,D
False,0.92783135,F,F
False,0.8862683,B,B
True,0.14515534,D,B
False,0.44384065,A,A
False,0.62189454,C,C
False,0.93867326,A,A
False,0.8358168,A,A
False,0.7176875,D,D
True,0.0726298,F,B
False,0.6598872,B,B
False,0.9235039,A,A
False,0.57512826,B,B
False,0.6696897,B,B
False,0.46798655,D,D
False,0.62109214,B,B
False,0.77098095,A,A
