exam_1,exam_2,exam_3,notes
82,69,75,great final presentation +10
94,90,90,great participation +10
92,63,91,missed homework frequently -10
91,0,68,"cheated on exam, gets 0pts"
81,56,58,
73,92,91,great final presentation +10
72,93,98,great participation +10
79,86,99,great final presentation +10
94,83,88,great final presentation +10
96,0,90,"cheated on exam, gets 0pts"
91,74,88,great participation +10
100,73,84,missed homework frequently -10
75,67,78,great final presentation +10
76,74,97,
79,73,72,
100,100,99,
93,96,90,
57,78,83,
73,84,68,great participation +10
94,98,99,
78,89,81,
87,64,94,
81,76,97,great participation +10
69,92,99,missed homework frequently -10
88,81,85,
0,73,89,"cheated on exam, gets 0pts"
74,80,90,
80,76,66,
79,84,92,
86,89,82,
0,69,90,"cheated on exam, gets 0pts"
86,80,66,
75,0,55,"cheated on exam, gets 0pts"
96,73,94,great participation +10
83,79,67,
70,96,81,great final presentation +10
89,77,68,
83,88,88,
0,84,93,"cheated on exam, gets 0pts"
68,65,89,
93,88,79,missed homework frequently -10
87,79,82,great final presentation +10
99,77,81,great final presentation +10
86,45,86,great final presentation +10
92,73,89,
98,69,90,
93,70,97,
87,97,99,
73,96,92,
77,95,85,
76,81,96,
88,67,92,
93,96,94,great final presentation +10
100,100,87,missed homework frequently -10
93,47,79,great participation +10
85,94,75,missed class frequently -10
99,62,90,
61,0,97,"cheated on exam, gets 0pts"
82,94,99,missed class frequently -10
83,79,93,great participation +10
58,90,80,
72,69,81,missed homework frequently -10
86,71,68,
100,80,78,missed class frequently -10
52,86,87,
85,68,76,great participation +10
68,93,73,
73,93,86,
75,78,97,
56,75,71,
84,96,73,great participation +10
71,65,81,great participation +10
95,85,98,
79,80,91,
92,0,89,"cheated on exam, gets 0pts"
89,72,98,missed homework frequently -10
91,89,83,missed class frequently -10
51,65,97,
88,79,98,great final presentation +10
41,80,93,
94,70,85,great participation +10
74,61,87,
71,95,45,
0,97,85,"cheated on exam, gets 0pts"
92,93,73,missed homework frequently -10
91,98,77,
92,81,54,
72,80,69,
0,83,76,"cheated on exam, gets 0pts"
82,61,87,great participation +10
93,56,74,
89,99,73,great final presentation +10
0,65,87,"cheated on exam, gets 0pts"
62,64,63,
89,91,57,
85,49,83,
90,70,68,
64,85,97,missed class frequently -10
96,94,89,
82,90,85,
89,75,64,great final presentation +10
70,97,42,
95,77,87,
65,69,92,missed homework frequently -10
74,98,86,
76,84,67,
88,56,80,
96,87,80,missed class frequently -10
80,72,97,
94,91,93,great participation +10
96,95,89,
74,65,85,
75,0,65,"cheated on exam, gets 0pts"
84,93,62,missed class frequently -10
92,90,77,great participation +10
78,53,96,missed homework frequently -10
49,77,89,great participation +10
90,79,89,
97,88,74,great participation +10
82,99,82,
46,92,66,
71,77,73,great final presentation +10
48,50,65,
71,76,56,
66,74,80,missed class frequently -10
90,57,97,
64,93,70,
67,0,76,"cheated on exam, gets 0pts"
69,86,75,
69,86,97,missed homework frequently -10
89,70,74,
0,92,60,"cheated on exam, gets 0pts"
90,82,86,
87,0,96,"cheated on exam, gets 0pts"
90,99,90,
73,82,69,missed class frequently -10
96,83,73,great final presentation +10
88,89,80,missed class frequently -10
76,72,100,great final presentation +10
86,92,86,great participation +10
78,89,58,
53,72,46,missed class frequently -10
70,84,76,
0,83,97,"cheated on exam, gets 0pts"
87,0,70,"cheated on exam, gets 0pts"
92,97,44,
73,64,87,missed homework frequently -10
73,95,67,
73,77,73,
67,69,84,missed class frequently -10
59,84,83,missed class frequently -10
94,78,96,great participation +10
88,96,79,great final presentation +10
99,86,95,missed class frequently -10
88,69,89,
0,97,88,"cheated on exam, gets 0pts"
80,92,84,
93,91,84,great final presentation +10
84,99,71,
93,82,85,missed homework frequently -10
79,76,98,
34,91,92,missed homework frequently -10
0,88,95,"cheated on exam, gets 0pts"
89,95,87,great participation +10
100,69,41,
91,97,53,great participation +10
96,82,86,great participation +10
68,74,40,missed homework frequently -10
0,81,97,"cheated on exam, gets 0pts"
84,83,60,
96,76,85,
65,0,95,"cheated on exam, gets 0pts"
64,85,97,
93,91,52,
71,89,90,
79,0,59,"cheated on exam, gets 0pts"
86,87,77,
89,85,87,great final presentation +10
95,96,64,
83,86,85,missed homework frequently -10
59,37,75,missed homework frequently -10
98,88,95,
73,71,83,
93,81,77,great participation +10
96,73,89,missed homework frequently -10
92,87,49,
73,56,91,missed class frequently -10
68,99,99,great final presentation +10
72,91,92,
91,75,100,great participation +10
86,67,76,missed homework frequently -10
85,97,86,great participation +10
65,0,57,"cheated on exam, gets 0pts"
76,78,70,
95,59,90,great participation +10
70,63,95,great participation +10
65,72,86,great participation +10
85,92,84,missed homework frequently -10
99,95,67,
84,94,100,great final presentation +10
