is_label_issue,label_score,given_label,predicted_label
False,0.6727778,C,C
False,0.6915045,B,B
False,0.7294465,B,B
False,0.6624073,C,C
False,0.4584949,C,C
False,0.56241333,B,B
False,0.5744189,D,D
False,0.7914251,B,B
False,0.74375814,F,F
False,0.5890413,C,C
False,0.6467341,C,C
True,0.06886562,B,D
False,0.611339,C,C
False,0.70498264,D,D
True,0.058765497,D,B
False,0.73881227,B,B
False,0.80377936,A,A
False,0.45658988,F,F
True,0.1288985,B,D
False,0.69081813,B,B
False,0.83049333,B,B
False,0.7555871,C,C
False,0.65689075,C,C
True,0.038380936,A,C
False,0.75245285,C,C
False,0.69751656,C,C
False,0.9250488,A,A
True,0.1016638,F,B
False,0.5472734,B,B
False,0.7246475,B,B
False,0.16601208,A,C
False,0.7826048,A,A
True,0.15835166,D,B
False,0.6595568,C,C
False,0.89570713,A,A
False,0.73240054,C,C
True,0.13475247,D,B
False,0.31169057,B,B
False,0.54863274,C,C
False,0.8809365,A,A
True,0.1352614,B,D
False,0.57703906,D,D
False,0.58077013,C,C
False,0.8969078,A,A
False,0.6653153,B,B
False,0.14631343,A,D
False,0.5562214,B,B
False,0.5918543,D,D
False,0.57638896,C,C
False,0.5400779,A,A
False,0.8781636,A,A
False,0.5947718,C,C
True,0.22082481,F,B
False,0.72807825,D,D
False,0.7099459,B,B
False,0.46190977,D,D
True,0.062911026,F,B
True,0.0763503,B,D
True,0.08055753,A,C
False,0.75837934,C,C
False,0.6449659,B,B
False,0.58211696,B,B
False,0.5043882,B,B
False,0.86312795,A,A
False,0.98291856,A,A
False,0.6057961,B,B
False,0.75584155,A,A
False,0.73777366,F,F
False,0.84981346,A,A
True,0.11092526,F,B
False,0.73060954,B,B
True,0.033269297,A,C
False,0.74481755,D,D
False,0.40005678,B,B
False,0.62020826,C,C
False,0.5369734,B,B
False,0.95444167,A,A
False,0.71587944,C,C
False,0.7653972,B,B
False,0.9283372,F,F
False,0.81729436,A,A
False,0.6942416,A,A
False,0.50193167,B,B
True,0.05889266,D,B
True,0.26925552,D,B
False,0.8533885,A,A
False,0.5581313,A,A
False,0.78712803,B,B
False,0.8579238,F,F
False,0.52845204,B,B
False,0.71382445,C,C
True,0.17919335,D,B
False,0.6144751,B,B
False,0.8531758,F,F
False,0.73238647,B,B
False,0.8243686,D,D
False,0.8121567,A,A
False,0.68311256,D,D
False,0.9219637,A,A
False,0.6418214,C,C
False,0.6516912,B,B
False,0.75811505,C,C
False,0.5984855,B,B
False,0.97280985,A,A
False,0.43962017,D,D
True,0.1916113,D,B
False,0.83674645,F,F
False,0.78299457,B,B
True,0.110008344,A,D
False,0.77289504,A,A
False,0.7509996,C,C
False,0.7468745,C,C
False,0.5372625,C,C
False,0.6200057,A,A
False,0.34889245,D,D
False,0.66146874,B,B
False,0.5662188,A,A
True,0.1392774,B,D
False,0.8728603,A,A
False,0.88531244,A,A
True,0.11587032,B,D
False,0.5276605,C,C
False,0.6480894,D,D
False,0.84955484,F,F
False,0.87642604,A,A
False,0.9724496,A,A
False,0.9649608,A,A
False,0.7810803,F,F
False,0.7446416,F,F
True,0.14638731,D,B
True,0.055531897,A,F
False,0.5306845,C,C
False,0.8112079,B,B
False,0.2843426,D,D
False,0.28586084,D,D
True,0.07332398,F,C
False,0.86386555,A,A
True,0.068145595,D,B
False,0.39468396,D,D
True,0.074393645,A,D
True,0.10384978,F,A
False,0.5832294,D,D
False,0.4841134,D,D
True,0.07978074,B,D
True,0.053582467,F,C
False,0.8331186,F,F
False,0.9442743,A,A
False,0.73872066,B,B
False,0.8930281,F,F
False,0.66367805,B,B
False,0.12872374,F,C
False,0.5941088,A,A
True,0.22150092,F,B
False,0.7183969,C,C
False,0.5863417,B,B
False,0.7180519,C,C
False,0.77622676,F,F
False,0.615919,D,D
True,0.117711425,D,B
True,0.043574475,B,D
True,0.048683956,F,C
True,0.07320286,A,C
False,0.72970366,C,C
False,0.73558134,B,B
False,0.6398983,B,B
False,0.89738065,F,F
False,0.5869031,B,B
False,0.8162857,F,F
False,0.7841289,B,B
True,0.038774095,F,B
False,0.74520904,A,A
False,0.8896099,A,A
False,0.5764499,B,B
True,0.0642941,F,A
True,0.08850473,B,D
False,0.7069439,B,B
False,0.7042062,D,D
False,0.7530438,B,B
True,0.13694079,D,B
True,0.104388535,F,B
False,0.76672053,C,C
False,0.5028922,B,B
False,0.570223,C,C
False,0.930868,A,A
True,0.1404239,D,B
False,0.593186,D,D
False,0.6133512,D,D
False,0.6546586,B,B
False,0.5526033,C,C
False,0.7570734,B,B
True,0.08340477,D,B
False,0.7596868,F,F
False,0.73832375,B,B
True,0.21388297,D,B
False,0.51549983,B,B
True,0.21513061,B,D
False,0.69073135,C,C
True,0.16636114,D,B
False,0.57480764,D,D
True,0.120681964,D,B
False,0.7807601,A,A
False,0.95497006,A,A
False,0.8398285,C,C
False,0.56224465,C,C
False,0.7901197,B,B
False,0.7721858,D,D
False,0.63307416,D,D
False,0.6484991,C,C
True,0.07939151,D,B
False,0.7435366,D,D
True,0.08819028,F,A
False,0.8367606,F,F
True,0.19556981,F,B
False,0.9036418,A,A
False,0.75904596,C,C
False,0.96304333,A,A
False,0.701248,C,C
False,0.62981874,C,C
False,0.7340753,B,B
False,0.52143335,D,D
False,0.78040004,A,A
False,0.6040346,C,C
False,0.8947465,A,A
False,0.10106971,F,C
False,0.6699952,D,D
False,0.3761847,D,D
False,0.6267635,A,A
False,0.51988184,D,D
False,0.7527049,C,C
False,0.9260048,A,A
True,0.20159325,D,B
False,0.75785875,D,D
False,0.5314338,C,C
True,0.0745857,F,C
False,0.79668933,A,A
False,0.71415174,B,B
False,0.9312879,A,A
False,0.7067321,C,C
False,0.29583475,D,B
False,0.5556862,B,B
False,0.8484225,B,B
False,0.72797364,C,C
False,0.6433083,C,C
False,0.7400816,A,A
False,0.94193757,A,A
False,0.6824608,B,B
False,0.8488588,B,B
False,0.75537395,C,C
False,0.7689547,A,A
False,0.9414472,A,A
False,0.85109913,A,A
False,0.67842114,A,A
False,0.56255716,D,D
False,0.5446242,B,B
False,0.67219967,B,B
False,0.36900368,B,B
False,0.72553074,A,A
False,0.89022815,A,A
False,0.47027296,F,F
False,0.4039703,D,D
False,0.27191344,D,D
False,0.58385545,C,C
False,0.8403053,A,A
False,0.42922628,B,B
True,0.0554277,F,C
False,0.7928668,D,D
False,0.9242141,A,A
False,0.64455104,D,D
True,0.12832233,B,C
False,0.703311,C,C
False,0.61302984,B,B
True,0.08627333,F,A
True,0.06993715,F,B
False,0.61736166,C,C
False,0.50179297,B,B
False,0.9346944,A,A
False,0.49897248,D,D
False,0.6121603,F,F
False,0.7210876,C,C
False,0.77969307,F,F
False,0.72408634,C,C
False,0.8598275,A,A
False,0.78124744,A,A
False,0.65685225,C,C
True,0.047537014,A,F
True,0.07287106,B,D
False,0.82268953,F,F
False,0.7461733,B,B
False,0.51669216,C,C
False,0.6678391,C,C
False,0.14960365,D,A
True,0.07753069,A,C
False,0.6690314,D,D
False,0.54034007,B,B
False,0.7086698,A,A
False,0.9520886,A,A
False,0.75929797,B,B
False,0.76846224,B,B
False,0.6891671,C,C
False,0.8930167,F,F
False,0.61389166,C,C
True,0.068335645,B,D
False,0.7831224,A,A
True,0.09806903,B,D
False,0.6457983,C,C
False,0.83337975,F,F
False,0.8486482,F,F
False,0.91144115,A,A
False,0.79527456,B,B
False,0.38665688,D,D
False,0.6870464,C,C
False,0.6512134,D,D
False,0.7581409,C,C
False,0.79506165,B,B
False,0.7854068,C,C
False,0.6814699,C,C
False,0.64365965,B,B
False,0.60862577,B,B
True,0.012267148,F,C
False,0.7715697,C,C
False,0.60735077,B,B
False,0.7757857,C,C
False,0.12924,A,C
False,0.7363713,C,C
True,0.21255957,F,B
True,0.15204377,D,B
False,0.61280584,C,C
False,0.64234495,A,A
